target,feature_group,fold,model,candidate,rmse,mae,directional_accuracy,rows
ADRO.JK,E3,fold3,gru,lookback5_hidden16,0.02811751594160252,0.02030291455055822,0.4878048780487805,246
ADRO.JK,E3,fold1,gru,lookback10_hidden32,0.03704918282041762,0.02685461261969691,0.45041322314049587,242
ADRO.JK,E3,fold2,gru,lookback10_hidden32,0.026372490311225176,0.01924824949800742,0.46963562753036436,247
ADRO.JK,E3,fold3,gru,lookback10_hidden32,0.028111078971301936,0.020235850102820894,0.4715447154471545,246
ADRO.JK,E3,fold1,transformer,lookback5_d16_heads2_ff32,0.03751739328150134,0.027249774346724615,0.4462809917355372,242
ADRO.JK,E3,fold2,transformer,lookback5_d16_heads2_ff32,0.026667483526310445,0.019586219674547538,0.47368421052631576,247
ADRO.JK,E3,fold3,transformer,lookback5_d16_heads2_ff32,0.028201988238415434,0.020105060016522486,0.516260162601626,246
ADRO.JK,E3,fold1,transformer,lookback10_d32_heads4_ff64,0.037427320302629394,0.027359181922458283,0.45454545454545453,242
ADRO.JK,E3,fold2,transformer,lookback10_d32_heads4_ff64,0.02656455321951791,0.01945879535965418,0.47368421052631576,247
ADRO.JK,E3,fold3,transformer,lookback10_d32_heads4_ff64,0.028435010895318517,0.020327104996639964,0.43902439024390244,246
PTBA.JK,E0,fold1,zero_return_naive,,0.03641541495102858,0.024780593794197357,0.07851239669421488,242
PTBA.JK,E0,fold1,xgboost,depth2_lr005,0.03554017774687447,0.024511195250003365,0.5,242
PTBA.JK,E0,fold1,xgboost,depth3_lr003,0.03597353808576283,0.024669450433972628,0.4793388429752066,242
PTBA.JK,E0,fold2,zero_return_naive,,0.021932072031029953,0.016053328058668898,0.11740890688259109,247
PTBA.JK,E0,fold2,xgboost,depth2_lr005,0.02206100769366522,0.01634644330031453,0.4251012145748988,247
PTBA.JK,E0,fold2,xgboost,depth3_lr003,0.02225329807947953,0.016549735971998537,0.44534412955465585,247
PTBA.JK,E0,fold3,zero_return_naive,,0.02301135715103642,0.01592736084936993,0.07317073170731707,246
PTBA.JK,E0,fold3,xgboost,depth2_lr005,0.0236384225977549,0.016117782028344227,0.491869918699187,246
PTBA.JK,E0,fold3,xgboost,depth3_lr003,0.02404351577657221,0.016338831577404338,0.4796747967479675,246
PTBA.JK,E0,fold1,gru,lookback5_hidden16,0.03627200881894655,0.02484515019353818,0.45454545454545453,242
PTBA.JK,E0,fold2,gru,lookback5_hidden16,0.021951562510669195,0.016134268628020473,0.42105263157894735,247
PTBA.JK,E0,fold3,gru,lookback5_hidden16,0.022892931480198855,0.01585413435189152,0.516260162601626,246
PTBA.JK,E0,fold1,gru,lookback10_hidden32,0.036274351295257246,0.024839506192808232,0.45454545454545453,242
PTBA.JK,E0,fold2,gru,lookback10_hidden32,0.021942085473203705,0.01619684319780114,0.44129554655870445,247
PTBA.JK,E0,fold3,gru,lookback10_hidden32,0.02290765839223607,0.015802517428954426,0.532520325203252,246
PTBA.JK,E0,fold1,transformer,lookback5_d16_heads2_ff32,0.036280274588894525,0.024893617915799686,0.47107438016528924,242
PTBA.JK,E0,fold2,transformer,lookback5_d16_heads2_ff32,0.021903928656886982,0.016058757222730757,0.46558704453441296,247
PTBA.JK,E0,fold3,transformer,lookback5_d16_heads2_ff32,0.02291678711202657,0.015922217751470794,0.516260162601626,246
PTBA.JK,E0,fold1,transformer,lookback10_d32_heads4_ff64,0.03602800768840696,0.025005620227903435,0.44214876033057854,242
PTBA.JK,E0,fold2,transformer,lookback10_d32_heads4_ff64,0.021967501640479736,0.016192559781814227,0.3967611336032389,247
PTBA.JK,E0,fold3,transformer,lookback10_d32_heads4_ff64,0.022944694010186815,0.015937598745624452,0.491869918699187,246
PTBA.JK,E1,fold1,zero_return_naive,,0.03641541495102858,0.024780593794197357,0.07851239669421488,242
PTBA.JK,E1,fold1,xgboost,depth2_lr005,0.03589636080665947,0.024583643362698093,0.5289256198347108,242
PTBA.JK,E1,fold1,xgboost,depth3_lr003,0.03635393409556917,0.024924018770959313,0.5165289256198347,242
PTBA.JK,E1,fold2,zero_return_naive,,0.021932072031029953,0.016053328058668898,0.11740890688259109,247
PTBA.JK,E1,fold2,xgboost,depth2_lr005,0.02220847686624972,0.016372081428084207,0.44129554655870445,247
PTBA.JK,E1,fold2,xgboost,depth3_lr003,0.022434253296682565,0.016586231698300632,0.4331983805668016,247
PTBA.JK,E1,fold3,zero_return_naive,,0.02301135715103642,0.01592736084936993,0.07317073170731707,246
PTBA.JK,E1,fold3,xgboost,depth2_lr005,0.023368222692285185,0.01619863841912551,0.483739837398374,246
PTBA.JK,E1,fold3,xgboost,depth3_lr003,0.023552056363148423,0.016265482172205917,0.4796747967479675,246
PTBA.JK,E1,fold1,gru,lookback5_hidden16,0.03609213689781403,0.024526813245726718,0.5247933884297521,242
PTBA.JK,E1,fold2,gru,lookback5_hidden16,0.021953746663269953,0.016197317989207503,0.4331983805668016,247
PTBA.JK,E1,fold3,gru,lookback5_hidden16,0.022909668598153646,0.015882047375463466,0.516260162601626,246
PTBA.JK,E1,fold1,gru,lookback10_hidden32,0.036161406398090706,0.024519116859950417,0.5082644628099173,242
PTBA.JK,E1,fold2,gru,lookback10_hidden32,0.021942163270899026,0.016214847420945554,0.44534412955465585,247
PTBA.JK,E1,fold3,gru,lookback10_hidden32,0.022883477919462453,0.01585924061161004,0.5121951219512195,246
PTBA.JK,E1,fold1,transformer,lookback5_d16_heads2_ff32,0.03593925482014626,0.024453106026255625,0.512396694214876,242
PTBA.JK,E1,fold2,transformer,lookback5_d16_heads2_ff32,0.022043705125543777,0.016199947159260375,0.4493927125506073,247
PTBA.JK,E1,fold3,transformer,lookback5_d16_heads2_ff32,0.023043706100334693,0.01597428447197805,0.4959349593495935,246
